easy0,御代志駅,熊本電気鉄道菊池線の終点の駅。ここでバスに乗り換えて菊池方面へ移動することが出来る。
easy1,合志市のオブジェ,合志市のどこかに存在するオブジェ....見つけられるかな？
easy2,弁天山１,弁天山の中腹。近くに第五ファームポンドという農業用調整池があり地域の水源となっている。景色は絶景
easy3,合志市立図書館,合志市の図書館、様々な種類の本や雑誌など豊富に取り揃えてある。
easy4,竹迫城跡公園１,竹迫城跡公園のシンボルマークの岩。ちなみにこの左側には昭和天皇が訪れた木が植えてある。
easy5,カントリーパークのマーク,カントリーパークのロゴマークです！意外と知られていないかもしれないけど結構かわいい
easy6,飯高山公園入り口,近隣の住民のウォーキングスポットとして人気の場所。テニスコートも整備されており、よく賑やかな声が聞こえる
easy7,蛇ノ尾公園１,ここは湿地帯にある公園。四季折々の風景を感じられる、知る人ぞ知る隠れスポットだ。
easy8,弁天山入り口,アスレチック広場・芝生広場・展望広場・野鳥の森・昆虫の森など、様々な施設で自然を体感することが出来る
easy9,農業公園前バス停,農業公園前のバス停の待合室。自然味溢れるその雰囲気から、休憩所と勘違いしてしてしまう人も...
nomal0,三石駅,熊本電気鉄道菊池線の中継の駅。ここから高速バスに乗ることが出来る。トンネルの先の風景を覗けばそこには....
nomal1,カントリーパーク前のオブジェ,大津西合志線からカントリーパークに来る人には毎度お馴染みのオブジェ、何とも言えないこの雰囲気が癖になるかも
nomal2,弁天山２,弁天山広場から見た景色。お年寄りからわんぱく少年少女までもがこの公園を愛用しているのがわかる
nomal3,合志市マンガミュージアム,近代のマンガからあの懐かしのマンガまで！マンガの歴史、資料、自分の知らないマンガに出会おう！
nomal4,竹迫城跡公園２,竹迫城跡公園に存在する奇妙なオブジェクト。実は合志群の記念碑であり、たくさんの人の寄付によって出来たものだ
nomal5,ユーパレス弁天,合志市最大の温泉施設。またそれだけではなく、プールや食事処、ジムもある。この敷地内のどこかにはヤギが.....
nomal6,ある日の農場の風景,実はこれ、合志市なんです。どこか海外の風景に似た雄大さを感じられます。どこの景色か実際に探してみてね
nomal7,合志市の地図,合志市全体の地図。合志市内の各所に置かれており、名所や避難所等が記載されている
nomal8,飯高山公園内部,飯高山公園の風景を撮影した一枚。公園内だけでもかなりの高低差があり、凄くいい運動になるかも...
nomal9,蛇ノ尾公園２,水上を進む木の廊下を抜けると、待っていたのは1台のウッドデッキ。森林の鼓動と絶景をゆったりと堪能できます
hard0,熊本高専前駅,熊本高専前にある駅、この駅は高専生の通学だけではなく、近隣の方の交通の便としても利用されている。
hard1,弁天山３,苦難の旅を終え、生き残った者のみがたどりつける弁天山の頂上。しかし、ここからの眺めは絶景だ
hard2,合志市中央運動公園,この場所ではよくゲートボールの交流会や、少年サッカーの大会などが行われている。
hard3,元気の森公園,平成19年7月に出来た公園。四季折々の風景や鳥、昆虫観察なども楽しめる場所であり、ゆったりと羽を伸ばせるだろう
hard4,ルーロ合志,目指すは町のシンボル...	もともと西合志舎庁だったものが、商業ビルとして新たに生まれ変わった場所です
hard5,竹迫城跡公園３,竹迫城跡公園の景色、竹迫城は関東より下向した竹迫輝種が築城。400年にわたり合志郡の統治の拠点として栄えていた
hard6,カントリーパーク入口,学習、遊び、開放感の三つの視点で農業を体験できる施設、マルシェやフェスティバルなどのイベントが行われている
hard7,カントリーパーク内花畑,こちら、カントリーパークのバラ祭りの時の園内の写真です。色とりどりの花と、香りを楽しむことが出来ます。
hard8,飯高山公園山頂付近,50、80、100と階段を上り見えてくるのは展望所。そしてそこから見える景色は...
hard9,蛇ノ尾公園３,秋の蛇ノ尾公園にて見ることが出来る紅葉の道。歩く道すがら、ふと思い出すかの情景はかつて栄えた都の影か...